Title,Link,Author,PDF Link,Description,Thumbnail
There’s a Monster,https://freekidsbooks.org/theres-a-monster/,Danielle Bruckert,https://freekidsbooks.org/wp-content/uploads/2023/07/2305-Theres_a_Monster-FKB.pdf,"A mysterious monster is wreaking havoc in this child’s house. Who is she? What will the child do? There are monsters everywhere in our imagination. The trick is to find their friendly side, while working with them on the bad habits. Do you have monsters in your house? Another great book from the creator and …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Mommy Can Play Again,https://freekidsbooks.org/mommy-can-play-again/,Trio Philadelphia,https://freekidsbooks.org/wp-content/uploads/2023/05/2305-MommyCanPlayAgain-Trio-FKB.pdf,"Molly learns about her mother’s need for a lung transplant. In time, after that successful transplant, Molly can play in the sandbox with her mother again. Based on real-life events, this is a story for children of families facing transplant, illustrated by children of TRIO Philadelphia chapter transplant families; conceived, created, and edited by the …",https://freekidsbooks.org/wp-content/uploads/2023/07/2306-Dinosuar_Mazes-Cover.jpg
The Fox Who Wanted to Fly,https://freekidsbooks.org/the-fox-who-wanted-to-fly/,M. Fox,https://freekidsbooks.org/wp-content/uploads/2023/05/2305-the_fox_who_wanted_to_fly-FKB.pdf,"The fox sees the birds, bees, and bats, and greatly desires to fly – will perseverance win? Sample Text: One night, Fox told her kits a bedtime story. It was the tale of a fox. This fox wanted to fly. Her kits said they wanted to fly. They said, “Flying looks like fun!” Let’s listen …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Under My Pillow,https://freekidsbooks.org/under-my-pillow/,Jennifer Ballow,https://a.co/d/2l1tLjK,"An adventure about a five-year-old girl who loses her first tooth. She puts it under her pillow as many children do but discovers that there is no tooth or present the next day. She then goes on a quest to solve the mystery with the help of her mom, the Tooth Fairy, and the Tooth …",https://freekidsbooks.org/wp-content/uploads/2023/05/2305-the_fox_who_wanted_to_fly-FKB.jpg
The Good Fox – A new fable,https://freekidsbooks.org/the-good-fox-a-new-fable/,Computer Mice,https://freekidsbooks.org/wp-content/uploads/2023/04/2304-the_good_fox-a_new_fable-FKB.pdf,The Good Fox is a fable about a fox who succeeds through kindness. It reinforces how doing good is rewarding and being kind to others is important. The book also has lots of fun repetition so can be suitable for children learning to read. Sample Text from The Good Fox Fox awoke and she was …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Golden Flower,https://freekidsbooks.org/the-golden-flower/,Lee Gamboa,https://freekidsbooks.org/wp-content/uploads/2023/03/2303-The_Golden_Flower_FKB-8.5.pdf,"Two young sisters go on an adventure and find more than they planned. The Golden Flower – Sample Text Once upon a time, in a land far away, there lived two sisters named Ariana and Nicoletta. Ariana was the older sister, always taking charge and making sure they stayed out of trouble. Nicoletta, on the …",https://freekidsbooks.org/wp-content/uploads/2023/04/2404-Under_My_Pillow-FKB-Cover.jpg
Doing My Chores – MonkeyPen,https://freekidsbooks.org/doing-my-chores-monkeypen/,MonkeyPen,https://freekidsbooks.org/wp-content/uploads/2023/03/2303-DOING_MY_CHORES-Childrens-Book-By-Monkey-Pen_FKB.pdf,"Doing your chores is sometimes hard, see how this child makes it fun and rewarding. A free book by MonkeyPen – where you can order personalised books of your child! See more books by MonkeyPen here on FKB. See more books on Behaviour here on FKB.","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Thangwang and Bhalluka,https://freekidsbooks.org/thangwang-and-bhalluka/,Mala Kumar and  Jithin Jacob,https://freekidsbooks.org/wp-content/uploads/2023/02/2302-ThanwangandBhalluka-FKB.pdf,"Baby Thangwang and Bhalluka the Bear are best friends. They like to talk and growl together,  This cute short story has lots of sound words for early readers to practice sounding out or to have fun sounding out when reading to a toddler / kindergartener. Sample Page – Thangwang and Bhalluka Baby Thangwang likes to …",https://freekidsbooks.org/wp-content/uploads/2023/04/2304-the_good_fox-a_new_fable-FKB.jpg
Don’t Be a Bully – Be Nice Book 3 – Revised Edition,https://freekidsbooks.org/dont-be-a-bully-be-nice-book-3-revised-edition/,Danielle Bruckert and Zehnya Bruckert,https://freekidsbooks.org/wp-content/uploads/2023/02/FKB_Learn-Sight-Words-Print_friendly-Dont_Be_a_Bully-VZ.pdf,"Don’t be a Bully is a short simple book for young children, and beginner ESL readers, promoting values of anti-bullying and anti-discrimination. This book teaches children ten important life lessons about values and the importance of treating everyone equal, no matter what race, religion, gender, or abilities. There are exercises supporting the topics at the …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
My Wild Life – Early Reader,https://freekidsbooks.org/my-wild-life-early-reader/,"Illustrated by Kseniia Kudriavtseva, Written by Danielle Bruckert",https://freekidsbooks.org/wp-content/uploads/2022/12/My-Wild-Life.pdf,"What if you had a manatee in our bathtub, or a bison in your bed? Would you enjoy them there? Wild animals in your house sound like fun but find out more in this fun story that helps children learn the sounds and spelling of ere, ear, ier, air, are. Sample Text and First Page …",https://freekidsbooks.org/wp-content/uploads/2023/03/2303-The-Golden-Flower.jpg
Catch that Cat!,https://freekidsbooks.org/catch-that-cat/,"Illustrated by Lindy Pelzl, Written by Megan Pirie",https://freekidsbooks.org/wp-content/uploads/2022/12/2211-catch-that-cat_en-FKB.pdf,"The Cat has stolen a sock and then ran off, but is there a reason why she stole the sock? Find out more in Catch that Cat from BookDash. Sample Text from Catch that Cat! Hurry. Hurry! Help me, catch that cat! She stole my sock and ran off … snatch her. Grab her. Catch …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
